"","i","j","x"
"1",0,0,10.7478162459774
"2",19,0,-0.954669322876867
"3",34,0,-5.41184402988526
"4",96,0,-0.0880927234373577
"5",104,0,-0.442207325596427
"6",144,0,-2.79885706651632
"7",200,0,-0.893033552013808
"8",201,0,-0.159112225651379
"9",1,1,6.47468099096863
"10",11,1,-2.59216655108895
"11",31,1,-0.738153533684642
"12",101,1,-0.0338034452538559
"13",115,1,-1.93355275848454
"14",117,1,-0.213441712915914
"15",135,1,-0.213455335406348
"16",185,1,-0.750107654134377
"17",2,2,3.86978504642274
"18",41,2,-0.0343354066484208
"19",78,2,-0.643592528227773
"20",80,2,-0.514934547326931
"21",94,2,-0.544267107513209
"22",114,2,-0.522111480086539
"23",147,2,-0.912334561980573
"24",158,2,-0.698209414639291
"25",3,3,6.38114629357932
"26",24,3,-1.77005129276563
"27",33,3,-0.425477054943719
"28",42,3,-0.387908532598775
"29",137,3,-2.71939511141955
"30",150,3,-0.254315604826887
"31",151,3,-0.823998697024761
"32",4,4,12.4729808276146
"33",30,4,-8.69341299867131
"34",62,4,-0.249861268472031
"35",154,4,-3.3378235506864
"36",183,4,-0.191883009784873
"37",5,5,4.75803516617887
"38",53,5,-1.33286051489454
"39",62,5,-0.91845937798542
"40",138,5,-0.516669002135754
"41",182,5,-1.99004627116315
"42",6,6,5.54597539180128
"43",8,6,-2.36688784069547
"44",120,6,-0.717918760362048
"45",128,6,-0.814155718990548
"46",152,6,-1.64701307175321
"47",7,7,5.65133217389091
"48",89,7,-0.67873543853997
"49",92,7,-1.45822316116011
"50",110,7,-0.733708148324315
"51",150,7,-2.78066542586652
"52",6,8,-2.36688784069547
"53",8,8,4.86173693174354
"54",18,8,-0.368874028802783
"55",107,8,-0.559462523363373
"56",120,8,-0.478914052745357
"57",128,8,-0.0386800984051193
"58",194,8,-1.04891838773144
"59",9,9,16.5429532472609
"60",48,9,-9.25136382887173
"61",127,9,-6.55351598218269
"62",156,9,-0.732154981640515
"63",192,9,-0.00591845456593648
"64",10,10,7.23393888350013
"65",93,10,-0.0779249440554522
"66",116,10,-0.800512924034036
"67",148,10,-0.0996693212101967
"68",171,10,-4.80874942152276
"69",180,10,-1.25858719278121
"70",186,10,-0.188495079896475
"71",1,11,-2.59216655108895
"72",11,11,7.03372831977806
"73",31,11,-0.396266245691028
"74",44,11,-2.59175804463071
"75",115,11,-0.804023919912875
"76",141,11,-0.646485215714202
"77",189,11,-0.00302834274029223
"78",12,12,5.85097659849868
"79",47,12,-0.897035347618261
"80",63,12,-0.13765394092409
"81",98,12,-0.990183612606377
"82",122,12,-3.13448586450683
"83",136,12,-0.139757155026428
"84",213,12,-0.551860677816687
"85",13,13,4.57979922163236
"86",19,13,-0.771258552969983
"87",64,13,-0.336231567386152
"88",71,13,-0.12606480062107
"89",75,13,-0.454066002185264
"90",89,13,-0.137195743935392
"91",92,13,-0.246489709063972
"92",108,13,-1.95804738337619
"93",163,13,-0.550445462094333
"94",14,14,3.88732704691943
"95",32,14,-0.638794351555972
"96",37,14,-0.163558408921488
"97",90,14,-0.12645957247169
"98",155,14,-0.379883597676216
"99",159,14,-1.24232702311181
"100",160,14,-0.528706340155707
"101",168,14,-0.184006467968936
"102",181,14,-0.623591285057607
"103",15,15,4.17032535249039
"104",62,15,-0.20140400743046
"105",87,15,-1.27532603232621
"106",91,15,-0.154661013017274
"107",105,15,-0.902965581146584
"108",127,15,-0.959859412167083
"109",156,15,-0.414744869868572
"110",195,15,-0.261364436534208
"111",16,16,16.0642806614585
"112",52,16,-0.968688229601497
"113",55,16,-7.6295933750422
"114",109,16,-2.79605666518154
"115",157,16,-3.35710481390164
"116",213,16,-1.31283757773161
"117",17,17,4.88487932902648
"118",80,17,-0.573234856297796
"119",86,17,-1.67970121579195
"120",94,17,-0.711821613338042
"121",166,17,-1.92012164359869
"122",8,18,-0.368874028802783
"123",18,18,5.82408062462596
"124",28,18,-0.594048238540333
"125",107,18,-0.242893777796842
"126",123,18,-3.48748240474615
"127",128,18,-0.345449699344759
"128",185,18,-0.785332475395091
"129",0,19,-0.954669322876867
"130",13,19,-0.771258552969983
"131",19,19,4.20052901918293
"132",71,19,-0.0625175056593403
"133",96,19,-0.331801259453027
"134",104,19,-1.03636565827236
"135",108,19,-1.04391671995135
"136",20,20,6.60785551807392
"137",39,20,-0.199973667521589
"138",57,20,-0.315350962916951
"139",120,20,-0.0506217125562328
"140",121,20,-1.0876569154226
"141",132,20,-3.8405206474732
"142",176,20,-0.928388558730086
"143",194,20,-0.185343053453257
"144",21,21,5.63291155769759
"145",60,21,-1.25898319706311
"146",67,21,-2.08669732818674
"147",82,21,-1.96447212578738
"148",94,21,-0.322758906660351
"149",22,22,4.67803249295462
"150",23,22,-0.402390100838749
"151",35,22,-0.657428053861126
"152",68,22,-0.955511510139049
"153",117,22,-1.9649472642186
"154",123,22,-0.091254424673129
"155",185,22,-0.606501139223971
"156",22,23,-0.402390100838749
"157",23,23,5.34609641170575
"158",35,23,-1.12907974705262
"159",68,23,-0.0728866226861117
"160",85,23,-0.423377831962086
"161",100,23,-0.691250773248063
