"","i","j","x"
"75",74,74,0.00300964666871996
"76",75,75,0.0125630392209738
"77",76,76,0.00270623215791517
"78",77,77,0.00290395212517171
"79",78,78,0.00536468611099075
"80",79,79,0.00230780285647357
"81",80,80,0.0064439696931483
"82",81,81,0.00493116292003052
"83",82,82,0.00524993165063491
"84",83,83,0.00590216492441397
"85",84,84,0.0162455788835402
"86",85,85,0.0217497577965647
"87",86,86,0.00783360846491481
"88",87,87,0.00247616629018025
"89",88,88,0.00213634320308256
"90",89,89,0.00546265691324893
"91",90,90,0.00686720982955821
"92",91,91,0.00165116089315984
"93",92,92,0.00198597171209961
"94",93,93,0.00848441977443394
"95",94,94,0.0104352664189623
"96",95,95,0.00508446081413518
"97",96,96,0.00253983690330757
"98",97,97,0.00145947533542601
"99",98,98,0.00163205580668535
"100",99,99,0.00226354209085957
"101",100,100,0.00625531533105411
"102",101,101,0.0422027449447145
"103",102,102,0.0359916799762442
"104",103,103,0.00624354386868098
"105",104,104,0.00279903420007256
"106",105,105,0.00530594544792948
"107",106,106,0.00519227133789316
"108",107,107,0.00501504812557808
"109",108,108,0.00723748224334473
"110",109,109,0.0100963339142036
"111",110,110,0.00112684451847887
"112",111,111,0.00504950838692527
"113",112,112,0.00543154854953231
"114",113,113,0.0113373842721301
"115",114,114,0.00351413153538273
"116",115,115,0.00342120564042048
"117",116,116,0.00875047388743545
"118",117,117,0.00415049057827399
"119",118,118,0.00602724067856033
"120",119,119,0.00148380516404476
"121",120,120,0.00754936573122597
"122",121,121,0.000930383837317257
"123",122,122,0.00936008943556477
"124",123,123,0.0026311745730064
"125",124,124,0.00649927855925725
"126",125,125,0.000767126647575266
"127",126,126,0.00630838128193879
"128",127,127,0.00188103712463212
"129",128,128,0.00637749117118881
"130",129,129,0.00410931459457237
"131",130,130,0.0028924040997954
"132",131,131,0.000402127759594107
"133",132,132,0.00637129779979327
"134",133,133,0.00559872309261899
"135",134,134,0.00583311969944216
"136",135,135,0.0192608421831527
"137",136,136,0.00664190114613924
"138",137,137,0.00215063177810926
"139",138,138,0.00756931516141082
"140",139,139,0.00514254912856585
"141",140,140,0.00499406687470148
"142",141,141,0.00850908157224955
"143",142,142,0.00655781410050519
"144",143,143,0.00103541797433144
"145",144,144,0.0121389542625711
"146",145,145,0.00344945359663506
"147",146,146,0.00248742742216918
"148",147,147,0.00861838735856036
"149",148,148,0.00130580200883813
"150",149,149,0.00590122784138262
"151",150,150,0.0052299044116122
"152",151,151,0.00949166616477944
"153",152,152,0.00420436497120567
"154",153,153,0.00226501572738355
"155",154,154,0.00308151760638608
"156",155,155,0.00132645924435741
"157",156,156,0.0032520439917431
"158",157,157,0.00837303132133773
"159",158,158,0.00657735554484518
"160",159,159,0.00331365525276702
"161",160,160,0.00122589195387609
"162",161,161,0.00595582596269002
"163",162,162,0.0050010539179
"164",163,163,0.00147900962896414
"165",164,164,0.00277595644076282
"166",165,165,0.00300832517759629
"167",166,166,0.00249257545389657
"168",167,167,0.00230855107816789
"169",168,168,0.00218604751668975
"170",169,169,0.00184305988235475
"171",170,170,0.00829950160718582
"172",171,171,0.00196446432159864
"173",172,172,0.00479761939762441
"174",173,173,0.00406939215022098
"175",174,174,0.0072395041565134
"176",175,175,0.000904542202841931
"177",176,176,0.00314821204846497
"178",177,177,0.00622395315769229
"179",178,178,0.0114131266424687
"180",179,179,0.00840059141745254
"181",180,180,0.00103753214313717
"182",181,181,0.0022791912261088
"183",182,182,0.00516633379799621
"184",183,183,0.00241297650610957
"185",184,184,0.00120398853024234
"186",185,185,0.00729186395038147
"187",186,186,0.00260447214148824
"188",187,187,0.000786238433405908
"189",188,188,0.0106785656128268
"190",189,189,0.00239144421052119
"191",190,190,0.00971472046125442
"192",191,191,0.00239043413251574
"193",192,192,0.00739238910632577
"194",193,193,0.00909288410233985
"195",194,194,0.00793035710188884
"196",195,195,0.00370564474272795
"197",196,196,0.0017011867698366
"198",197,197,0.00821765123509045
"199",198,198,0.00739385793276164
"200",199,199,0.00303221710602352
"201",200,200,0.0221639028709265
"202",201,201,0.0379720459341281
"203",202,202,0.013251444555053
"204",203,203,0.00631172818797068
"205",204,204,0.0274512587234568
"206",205,205,0.0327415375404642
"207",206,206,0.00469112860044867
"208",207,207,0.00454514595281256
"209",208,208,0.0304427541989542
"210",209,209,0.0350120630824787
"211",210,210,0.00514327586305825
"212",211,211,0.0068514543740917
"213",212,212,0.0286386192759064
"214",213,213,0.0340229372828608
"215",214,214,0.00475929457909878
"216",215,215,0.00544765701208443
